#,admin4Pcode,admin4Name_eng,admin4Name_ukr,admin4ClassType,admin4PoliticalType,admin3Pcode,admin3Name_eng,admin3Name_ukr,admin3Name_rus,admin3PoliticalType,admin2Pcode,admin2Name_eng,admin2Name_ukr,admin2Name_rus,admin2ClassType,admin2PoliticalType,admin1Pcode,admin1Name_eng,admin1Name_ukr,admin1Name_rus,admin1ClassType,Population,Population_source,X Longitude,Y Latitude,IDP location Cluster,IDP estimation
1127,UA4608005003,Byblo,Библо,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,414,Census 2001,22.8636208,49.64510793,1,414
1130,UA4614009003,Bykiv,Биків,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,183,Census 2001,22.93565116,49.76722258,1,183
27842,UA2110019012,Chaslivtsi,Часлівці,сільські населені пункти (СНП),,UA2110019,Siurtivska,Сюртівська,Сюртивская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,820,Census 2001,22.30136196,48.52957921,1,820
27870,UA2102019015,Chepa,Чепа,сільські населені пункти (СНП),,UA2102019,Pyiterfolvivska,Пийтерфолвівська,Паятерфолвовский,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1943,Census 2001,23.01594649,48.06808973,1,1943
28128,UA7306015009,Cherepkivtsi,Черепківці,сільські населені пункти (СНП),,UA7306015,Hlybotska,Глибоцька,Глыбокская,селищна ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,2072,Census 2001,25.96576104,48.0214931,1,2072
28146,UA7108049001,Cherkasy,Черкаси,міста,центр району; центр області; місто обласного значення,UA7108049,Cherkaska,Черкаська,Черкасская,міська ОТГ,UA7108,Cherkaskyi,Черкаський,Черкасский,район,,UA71,Cherkaska,Черкаська,Черкасская,область,285605,Census 2001,32.04685238,49.42223101,3,1714
28165,UA4614003060,Cherneve,Черневе,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,1078,Census 2001,23.09147874,49.84674105,1,1078
28211,UA7306061001,Chernivtsi,Чернівці,міста,"центр району, центр області, місто обласного значення, центр міської ОТГ",UA7306061,Chernivetska,Чернівецька,Черновицкая,міська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,258842,Census 2001,25.93737229,48.30302389,2,64711
28194,UA4614011076,Chernyliava,Чернилява,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,1744,Census 2001,23.33137242,49.97599428,1,1744
27903,UA7306015008,Chervona Dibrova,Червона Діброва,сільські населені пункти (СНП),,UA7306015,Hlybotska,Глибоцька,Глыбокская,селищна ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,659,Census 2001,25.92573675,48.13515054,1,659
